batch_id,batch_start_date,batch_end_date,orders_loaded,items_loaded,status,error_message,run_timestamp
INITIAL_LOAD,START,2017-01-01,329,370,SUCCESS,,2026-05-25 14:14:45.734786
BATCH_2017_01,2016-12-23 23:16:47,2017-01-31 00:00:00,730,870,SUCCESS,,2026-05-25 14:16:36.541299
BATCH_2017_02,2017-01-30 23:40:40,2017-02-28 00:00:00,1795,1969,SUCCESS,,2026-05-25 14:16:55.024100
BATCH_2017_03,2017-02-27 23:54:11,2017-03-31 00:00:00,2667,2994,SUCCESS,,2026-05-25 14:17:07.418988
BATCH_2017_01,2017-03-30 23:41:34,2017-01-31 00:00:00,0,0,NO_DATA,,2026-05-25 14:18:13.167912
BATCH_2017_02,2017-03-30 23:41:34,2017-02-28 00:00:00,0,0,NO_DATA,,2026-05-25 14:18:13.186209
BATCH_2017_03,2017-03-30 23:41:34,2017-03-31 00:00:00,0,0,NO_DATA,,2026-05-25 14:18:13.207563
BATCH_2017_04,2017-03-30 23:41:34,2017-04-30 00:00:00,2406,2686,SUCCESS,,2026-05-25 14:18:14.409583
BATCH_2017_05,2017-04-29 23:40:45,2017-05-31 00:00:00,3639,4065,SUCCESS,,2026-05-25 14:18:15.952734
BATCH_2017_06,2017-05-30 23:37:31,2017-06-30 00:00:00,3279,3628,SUCCESS,,2026-05-25 14:18:17.631748
BATCH_2017_07,2017-06-29 23:22:27,2017-07-31 00:00:00,3973,4450,SUCCESS,,2026-05-25 14:18:19.691803
BATCH_2017_08,2017-07-30 23:59:44,2017-08-31 00:00:00,4330,4904,SUCCESS,,2026-05-25 14:18:22.190324
BATCH_2017_09,2017-08-30 23:51:01,2017-09-30 00:00:00,4325,4883,SUCCESS,,2026-05-25 14:18:25.135147
BATCH_2017_10,2017-09-29 23:56:20,2017-10-31 00:00:00,4580,5248,SUCCESS,,2026-05-25 14:18:28.396176
BATCH_2017_11,2017-10-30 23:58:49,2017-11-30 00:00:00,7437,8564,SUCCESS,,2026-05-25 14:18:32.631175
BATCH_2017_12,2017-11-29 23:56:39,2017-12-31 00:00:00,5866,6525,SUCCESS,,2026-05-25 14:18:37.210457
BATCH_2018_01,2017-12-30 23:53:28,2018-01-31 00:00:00,7087,8002,SUCCESS,,2026-05-25 14:18:42.232420
BATCH_2018_02,2018-01-30 23:59:43,2018-02-28 00:00:00,6671,7598,SUCCESS,,2026-05-25 14:18:47.924442
BATCH_2018_03,2018-02-27 23:59:53,2018-03-31 00:00:00,7356,8382,SUCCESS,,2026-05-25 14:18:54.537838
BATCH_2018_04,2018-03-30 23:32:46,2018-04-30 00:00:00,6867,7883,SUCCESS,,2026-05-25 14:19:01.564532
BATCH_2018_05,2018-04-29 23:57:11,2018-05-31 00:00:00,6980,8064,SUCCESS,,2026-05-25 14:19:09.253793
BATCH_2018_06,2018-05-30 23:59:35,2018-06-30 00:00:00,6176,7085,SUCCESS,,2026-05-25 14:19:17.210856
BATCH_2018_07,2018-06-29 23:30:20,2018-07-31 00:00:00,6094,6854,SUCCESS,,2026-05-25 14:19:25.801635
BATCH_2018_08,2018-07-30 23:54:48,2018-08-31 00:00:00,6833,7625,SUCCESS,,2026-05-25 14:19:34.526982
FAILED_BATCH,,2018-09-30 00:00:00,0,0,FAILED,You are trying to merge on datetime64[s] and object columns for key 'delivered_customer_full_date'. If you wish to proceed you should use pd.concat,2026-05-25 14:19:36.643106
BATCH_2018_09,2018-08-30 15:11:58,2018-09-30 00:00:00,17,1,SUCCESS,,2026-05-25 14:46:27.175719
